epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.0683097168803215,3.7067172527313232,0.1062360480427742,3.2717268466949463
1,0.12346067279577255,3.163132905960083,0.2354910671710968,2.684117555618286
2,0.5130263566970825,1.8345750570297241,0.8443080186843872,0.7996019721031189
3,0.8672371506690979,0.6397249102592468,0.93603515625,0.341738224029541
4,0.9337923526763916,0.34423789381980896,0.9603096842765808,0.2082967460155487
5,0.9556077718734741,0.2326751947402954,0.9674944281578064,0.15689580142498016
6,0.9645457863807678,0.18081149458885193,0.9703543782234192,0.1346634179353714
7,0.9687830805778503,0.15409183502197266,0.9720284342765808,0.11935435235500336
8,0.9714314341545105,0.1353466510772705,0.9735630750656128,0.11223415285348892
9,0.9734010696411133,0.12298983335494995,0.9737025499343872,0.10599608719348907
10,0.973947286605835,0.11527615785598755,0.9739815592765808,0.10555311292409897
11,0.9748411178588867,0.10748454928398132,0.9745396375656128,0.10103074461221695
12,0.9762976765632629,0.101173534989357,0.9744001030921936,0.09743467718362808
13,0.9766618013381958,0.09710849076509476,0.9737723469734192,0.10021625459194183
14,0.9779859781265259,0.0920168086886406,0.9737723469734192,0.10062240809202194
15,0.9788135886192322,0.08699318021535873,0.9737025499343872,0.10087001323699951
16,0.9795087575912476,0.08307550847530365,0.9742606282234192,0.09991030395030975
17,0.9805846214294434,0.07897260040044785,0.9744001030921936,0.09943176060914993
18,0.9811473488807678,0.0752231627702713,0.974609375,0.10163259506225586
19,0.9813128709793091,0.07170964777469635,0.974609375,0.10071313381195068
20,0.9832163453102112,0.06709659844636917,0.9748883843421936,0.10125637799501419
21,0.9836798310279846,0.06348662823438644,0.9744001030921936,0.10177339613437653
22,0.9855833053588867,0.057525698095560074,0.9752371907234192,0.1035202294588089
23,0.9863777756690979,0.0530376173555851,0.97509765625,0.10721462965011597
24,0.9879171252250671,0.049014896154403687,0.974609375,0.11029166728258133
25,0.9887612462043762,0.04428085684776306,0.9744001030921936,0.11399795114994049
26,0.9899033308029175,0.040765125304460526,0.9742606282234192,0.11307786405086517
27,0.9911943674087524,0.03621705248951912,0.9746791124343872,0.11209344118833542
28,0.9923861026763916,0.032396335154771805,0.97509765625,0.11413713544607162
29,0.9929819703102112,0.030539460480213165,0.9742606282234192,0.12165457755327225
30,0.9942730665206909,0.02605554275214672,0.9747489094734192,0.12196823209524155
31,0.9952992796897888,0.023569254204630852,0.9749581217765808,0.12172381579875946
32,0.9955806136131287,0.021588413044810295,0.9740513563156128,0.12746231257915497
33,0.9962923526763916,0.01896711438894272,0.9745396375656128,0.1287020742893219
34,0.9971530437469482,0.01657729595899582,0.9744698405265808,0.13130271434783936
35,0.9972524046897888,0.015016044490039349,0.974609375,0.12755651772022247
36,0.9980965256690979,0.012934446334838867,0.974609375,0.12824653089046478
37,0.9984937906265259,0.010701630264520645,0.9741908311843872,0.1348653882741928
38,0.9989075660705566,0.009711313992738724,0.9743303656578064,0.13853317499160767
39,0.9991723895072937,0.008484461344778538,0.9737025499343872,0.13913431763648987
40,0.9993710517883301,0.007556044030934572,0.9740513563156128,0.13710567355155945
41,0.9995530843734741,0.006833160296082497,0.9742606282234192,0.13772055506706238
42,0.9995862245559692,0.006297535728663206,0.9741908311843872,0.14305439591407776
43,0.9997020363807678,0.0054971701465547085,0.9746791124343872,0.14429529011249542
44,0.9996689558029175,0.004999113269150257,0.97412109375,0.1458737850189209
45,0.9998013973236084,0.004429983906447887,0.9742606282234192,0.14728374779224396
46,0.9997848272323608,0.004293608479201794,0.97412109375,0.14834709465503693
47,0.9997682571411133,0.0038920496590435505,0.97412109375,0.14992178976535797
48,0.9998841285705566,0.0034693318884819746,0.9742606282234192,0.14896056056022644
49,0.9999172687530518,0.003131645265966654,0.9738420844078064,0.15342140197753906
